question_id,image_required,reason,old_template,title
65,False,removed_data_only_or_non_structural_visual_v5,matrix_only,Notation - matrix facts
67,False,removed_data_only_or_non_structural_visual_v5,vector_set,Notation - linear independence
69,False,removed_data_only_or_non_structural_visual_v5,matrix_only,Functions - matrix facts
71,False,removed_data_only_or_non_structural_visual_v5,vector_set,Functions - linear independence
72,False,removed_data_only_or_non_structural_visual_v5,Axb,Functions - invertibility edge case
73,False,removed_data_only_or_non_structural_visual_v5,matrix_only,Equations - matrix facts
75,False,removed_data_only_or_non_structural_visual_v5,vector_set,Equations - linear independence
76,False,removed_data_only_or_non_structural_visual_v5,Axb,Equations - invertibility edge case
77,False,removed_data_only_or_non_structural_visual_v5,matrix_only,Transformations - matrix facts
79,False,removed_data_only_or_non_structural_visual_v5,vector_set,Transformations - linear independence
80,False,removed_data_only_or_non_structural_visual_v5,Axb,Transformations - invertibility edge case
81,False,removed_data_only_or_non_structural_visual_v5,matrix_only,Modeling - matrix facts
83,False,removed_data_only_or_non_structural_visual_v5,vector_set,Modeling - linear independence
85,False,removed_data_only_or_non_structural_visual_v5,matrix_only,Interpretation - matrix facts
87,False,removed_data_only_or_non_structural_visual_v5,vector_set,Interpretation - linear independence
88,False,removed_data_only_or_non_structural_visual_v5,Axb,Interpretation - invertibility edge case
89,False,removed_data_only_or_non_structural_visual_v5,matrix_only,Proof Steps - matrix facts
91,False,removed_data_only_or_non_structural_visual_v5,vector_set,Proof Steps - linear independence
93,False,removed_data_only_or_non_structural_visual_v5,matrix_only,Checking Results - matrix facts
95,False,removed_data_only_or_non_structural_visual_v5,vector_set,Checking Results - linear independence
96,False,removed_data_only_or_non_structural_visual_v5,Axb,Checking Results - invertibility edge case
97,False,theory_or_conceptual_question_without_explicit_visual_components,generic_data,Sample Spaces - conditional probability facts
99,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Sample Spaces - expected value
100,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Sample Spaces - Bayes edge case
117,False,theory_or_conceptual_question_without_explicit_visual_components,generic_data,Normal Distribution - conditional probability facts
119,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Normal Distribution - expected value
120,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Normal Distribution - Bayes edge case
131,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Basic Terminology - graph degree sum
135,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Core Principles - graph degree sum
139,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Goals and Use Cases - graph degree sum
143,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Core Models - graph degree sum
147,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Workflow Stages - graph degree sum
151,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Assumptions and Limitations - graph degree sum
155,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Exercise Analysis - graph degree sum
159,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Choosing the Appropriate Method - graph degree sum
163,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Scenario-Based Application - graph degree sum
167,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Correctness Checking - graph degree sum
171,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Comparing Alternatives - graph degree sum
173,False,theory_or_conceptual_question_without_explicit_visual_components,generic_data,Common Mistakes and Edge Cases - propositional logic facts
174,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Common Mistakes and Edge Cases - truth table evaluation
175,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Common Mistakes and Edge Cases - graph degree sum
176,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Common Mistakes and Edge Cases - quantifier counterexample
178,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Basic Terminology - cache address split
182,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Core Principles - cache address split
186,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Goals and Use Cases - cache address split
190,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Core Models - cache address split
193,False,removed_empty_or_unsupported_visual_template,automaton,Workflow Stages - binary representation facts
194,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Workflow Stages - cache address split
195,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Workflow Stages - CPI calculation
196,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Workflow Stages - CPI with memory stall edge case
198,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Assumptions and Limitations - cache address split
201,False,removed_empty_or_unsupported_visual_template,automaton,Exercise Analysis - binary representation facts
202,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Exercise Analysis - cache address split
203,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Exercise Analysis - CPI calculation
204,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Exercise Analysis - CPI with memory stall edge case
206,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Choosing the Appropriate Method - cache address split
210,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Scenario-Based Application - cache address split
214,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Correctness Checking - cache address split
218,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Comparing Alternatives - cache address split
222,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Common Mistakes and Edge Cases - cache address split
257,False,removed_data_only_or_non_structural_visual_v5,integral,Substitution - integration facts
258,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Substitution - tangent line calculation
259,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Substitution - series convergence
260,False,removed_data_only_or_non_structural_visual_v5,integral,Substitution - improper integral edge case
289,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Motion in One Dimension - free-body facts
290,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Motion in One Dimension - force with kinetic friction
291,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Motion in One Dimension - force with kinetic friction
297,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Forces - free-body facts
298,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Forces - force with kinetic friction
299,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Forces - force with kinetic friction
300,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Forces - friction edge case
301,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Free Body Diagrams - free-body facts
302,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Free Body Diagrams - force with kinetic friction
303,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Free Body Diagrams - force with kinetic friction
304,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Free Body Diagrams - friction edge case
305,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Kinetic Energy - free-body facts
306,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Kinetic Energy - force with kinetic friction
307,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Kinetic Energy - force with kinetic friction
308,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Kinetic Energy - friction edge case
309,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Conservation of Energy - free-body facts
310,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Conservation of Energy - force with kinetic friction
311,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Conservation of Energy - force with kinetic friction
312,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Conservation of Energy - friction edge case
313,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Linear Momentum - free-body facts
314,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Linear Momentum - force with kinetic friction
315,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Linear Momentum - force with kinetic friction
316,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Linear Momentum - friction edge case
317,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Torque - free-body facts
318,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Torque - force with kinetic friction
319,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Torque - force with kinetic friction
320,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Torque - friction edge case
323,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Basic Terminology - graph degree sum
327,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Core Principles - graph degree sum
331,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Goals and Use Cases - graph degree sum
335,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Core Models - graph degree sum
339,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Workflow Stages - graph degree sum
343,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Assumptions and Limitations - graph degree sum
347,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Exercise Analysis - graph degree sum
351,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Choosing the Appropriate Method - graph degree sum
355,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Scenario-Based Application - graph degree sum
359,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Correctness Checking - graph degree sum
363,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Comparing Alternatives - graph degree sum
365,False,theory_or_conceptual_question_without_explicit_visual_components,generic_data,Common Mistakes and Edge Cases - propositional logic facts
366,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Common Mistakes and Edge Cases - truth table evaluation
367,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Common Mistakes and Edge Cases - graph degree sum
368,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Common Mistakes and Edge Cases - quantifier counterexample
370,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Basic Terminology - cache address split
374,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Core Principles - cache address split
378,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Goals and Use Cases - cache address split
382,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Core Models - cache address split
385,False,removed_empty_or_unsupported_visual_template,automaton,Workflow Stages - binary representation facts
386,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Workflow Stages - cache address split
387,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Workflow Stages - CPI calculation
388,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Workflow Stages - CPI with memory stall edge case
390,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Assumptions and Limitations - cache address split
393,False,removed_empty_or_unsupported_visual_template,automaton,Exercise Analysis - binary representation facts
394,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Exercise Analysis - cache address split
395,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Exercise Analysis - CPI calculation
396,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Exercise Analysis - CPI with memory stall edge case
398,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Choosing the Appropriate Method - cache address split
402,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Scenario-Based Application - cache address split
406,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Correctness Checking - cache address split
410,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Comparing Alternatives - cache address split
414,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Common Mistakes and Edge Cases - cache address split
417,False,removed_empty_or_unsupported_visual_template,stack_queue,Stacks - stack and queue facts
419,False,removed_empty_or_unsupported_visual_template,stack_queue,Stacks - hash collision simulation
420,False,removed_data_only_or_non_structural_visual_v5,tree,Stacks - BST deletion edge case
421,False,removed_data_only_or_non_structural_visual_v5,stack_queue,Queues - stack and queue facts
423,False,removed_empty_or_unsupported_visual_template,stack_queue,Queues - hash collision simulation
424,False,removed_data_only_or_non_structural_visual_v5,tree,Queues - BST deletion edge case
425,False,removed_empty_or_unsupported_visual_template,tree,Binary Trees - stack and queue facts
427,False,removed_empty_or_unsupported_visual_template,tree,Binary Trees - hash collision simulation
428,False,removed_data_only_or_non_structural_visual_v5,tree,Binary Trees - BST deletion edge case
429,False,removed_empty_or_unsupported_visual_template,tree,Search Trees - stack and queue facts
431,False,removed_empty_or_unsupported_visual_template,tree,Search Trees - hash collision simulation
432,False,removed_data_only_or_non_structural_visual_v5,tree,Search Trees - BST deletion edge case
433,False,removed_empty_or_unsupported_visual_template,stack_queue,Hash Functions - stack and queue facts
435,False,removed_data_only_or_non_structural_visual_v5,hash_table,Hash Functions - hash collision simulation
436,False,removed_data_only_or_non_structural_visual_v5,tree,Hash Functions - BST deletion edge case
437,False,removed_empty_or_unsupported_visual_template,stack_queue,Collisions - stack and queue facts
439,False,removed_data_only_or_non_structural_visual_v5,hash_table,Collisions - hash collision simulation
440,False,removed_data_only_or_non_structural_visual_v5,tree,Collisions - BST deletion edge case
441,False,removed_empty_or_unsupported_visual_template,stack_queue,Representation - stack and queue facts
443,False,removed_data_only_or_non_structural_visual_v5,hash_table,Representation - hash collision simulation
444,False,removed_data_only_or_non_structural_visual_v5,tree,Representation - BST deletion edge case
445,False,removed_empty_or_unsupported_visual_template,stack_queue,Traversal - stack and queue facts
447,False,removed_data_only_or_non_structural_visual_v5,hash_table,Traversal - hash collision simulation
448,False,removed_data_only_or_non_structural_visual_v5,tree,Traversal - BST deletion edge case
452,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Basic Terminology - traceability matrix edge case
456,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Core Principles - traceability matrix edge case
460,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Goals and Use Cases - traceability matrix edge case
464,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Core Models - traceability matrix edge case
468,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Workflow Stages - traceability matrix edge case
472,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Assumptions and Limitations - traceability matrix edge case
476,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Exercise Analysis - traceability matrix edge case
480,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Choosing the Appropriate Method - traceability matrix edge case
484,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Scenario-Based Application - traceability matrix edge case
488,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Correctness Checking - traceability matrix edge case
492,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Comparing Alternatives - traceability matrix edge case
496,False,removed_unstructured_givens_only_image,givens_only_from_explicit_question_data,Common Mistakes and Edge Cases - traceability matrix edge case
497,False,removed_data_only_or_non_structural_visual_v5,automaton,Basic Terminology - DFA facts
498,False,removed_data_only_or_non_structural_visual_v5,automaton,Basic Terminology - NFA epsilon closure
499,False,removed_data_only_or_non_structural_visual_v5,automaton,Basic Terminology - NFA epsilon closure
500,False,removed_data_only_or_non_structural_visual_v5,givens_only_from_explicit_question_data,Basic Terminology - pumping lemma edge case
501,False,removed_data_only_or_non_structural_visual_v5,automaton,Core Principles - DFA facts
502,False,removed_data_only_or_non_structural_visual_v5,automaton,Core Principles - NFA epsilon closure
503,False,removed_data_only_or_non_structural_visual_v5,automaton,Core Principles - NFA epsilon closure
