id,user_id,current_streak,longest_streak,last_activity_date,created_at,updated_at
1,1,1,4,2026-06-11,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
2,4,8,8,2026-05-31,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
3,5,10,10,2026-06-20,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
4,6,1,3,2026-06-07,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
5,10,9,9,2026-05-21,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
6,12,1,4,2026-06-02,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
7,14,1,2,2026-06-11,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
8,16,1,9,2026-06-02,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
9,18,2,5,2026-06-02,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
10,20,1,5,2026-06-12,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
11,21,1,7,2026-05-31,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
12,22,10,10,2026-05-24,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
13,23,1,3,2026-06-09,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
14,24,1,4,2026-06-12,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
15,25,8,8,2026-06-14,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
16,26,1,5,2026-06-12,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
17,27,2,2,2026-06-10,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
18,28,1,8,2026-06-01,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
19,29,10,10,2026-05-29,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
20,30,10,10,2026-05-31,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
21,31,1,10,2026-05-31,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
22,32,1,4,2026-06-06,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
23,33,8,8,2026-05-24,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
24,62,1,4,2026-06-11,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
25,63,1,5,2026-06-01,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
26,64,1,6,2026-06-08,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
27,65,2,3,2026-06-12,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
28,66,1,8,2026-05-21,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
29,67,1,5,2026-06-05,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
30,68,1,5,2026-06-02,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
31,69,1,2,2026-06-08,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
32,70,7,7,2026-06-12,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
33,71,1,6,2026-06-11,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
34,72,1,9,2026-06-08,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
35,73,1,8,2026-06-10,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
36,74,10,10,2026-06-07,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
37,75,5,5,2026-06-06,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
38,76,2,4,2026-06-05,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
39,77,1,1,2026-06-07,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
40,78,10,10,2026-06-18,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
41,79,1,7,2026-05-30,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
42,80,1,9,2026-05-23,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
43,81,1,7,2026-06-09,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
44,82,5,5,2026-05-29,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
45,83,1,2,2026-06-12,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
46,84,1,7,2026-06-09,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
47,85,10,10,2026-06-17,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
48,86,1,2,2026-06-04,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
49,87,1,2,2026-06-11,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
50,88,9,9,2026-06-10,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
51,89,10,10,2026-06-18,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
52,90,7,7,2026-06-03,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
53,91,3,3,2026-06-06,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
54,92,7,7,2026-06-03,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
55,93,1,2,2026-06-08,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
56,94,9,9,2026-06-19,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
57,95,1,4,2026-06-10,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
58,96,9,9,2026-05-24,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
59,97,9,9,2026-05-25,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
60,98,4,4,2026-06-14,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
61,99,1,2,2026-06-12,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
62,100,1,4,2026-06-04,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
63,101,1,7,2026-06-05,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
64,102,1,6,2026-06-07,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
65,103,1,5,2026-06-08,"""2026-06-12T12:00:00.000Z""","""2026-06-12T12:00:00.000Z"""
