"id","lecturer_id","program_id","status","created_at"
"1","36","1","active","""2026-05-24T21:17:47.384Z"""
"2","34","1","active","""2026-05-24T21:17:47.384Z"""
"3","35","1","active","""2026-05-24T21:17:47.384Z"""
"4","2","1","active","""2026-05-24T21:17:47.384Z"""
"5","7","7","active","""2026-05-24T21:17:47.384Z"""
"6","53","7","active","""2026-05-24T21:17:47.384Z"""
"7","54","7","active","""2026-05-24T21:17:47.384Z"""
"8","52","7","active","""2026-05-24T21:17:47.384Z"""
"9","61","2","active","""2026-05-24T21:17:47.384Z"""
"10","39","2","active","""2026-05-24T21:17:47.384Z"""
"11","37","2","active","""2026-05-24T21:17:47.384Z"""
"12","11","2","active","""2026-05-24T21:17:47.384Z"""
"13","38","2","active","""2026-05-24T21:17:47.384Z"""
"14","40","3","active","""2026-05-24T21:17:47.384Z"""
"15","42","3","active","""2026-05-24T21:17:47.384Z"""
"16","13","3","active","""2026-05-24T21:17:47.384Z"""
"17","41","3","active","""2026-05-24T21:17:47.384Z"""
"18","43","4","active","""2026-05-24T21:17:47.384Z"""
"19","44","4","active","""2026-05-24T21:17:47.384Z"""
"20","15","4","active","""2026-05-24T21:17:47.384Z"""
"21","45","4","active","""2026-05-24T21:17:47.384Z"""
"22","17","5","active","""2026-05-24T21:17:47.384Z"""
"23","61","5","active","""2026-05-24T21:17:47.384Z"""
"24","46","5","active","""2026-05-24T21:17:47.384Z"""
"25","47","5","active","""2026-05-24T21:17:47.384Z"""
"26","48","5","active","""2026-05-24T21:17:47.384Z"""
"27","50","6","active","""2026-05-24T21:17:47.384Z"""
"28","19","6","active","""2026-05-24T21:17:47.384Z"""
"29","51","6","active","""2026-05-24T21:17:47.384Z"""
"30","49","6","active","""2026-05-24T21:17:47.384Z"""
"31","57","1","active","""2026-05-24T21:17:47.384Z"""
"32","57","3","active","""2026-05-24T21:17:47.384Z"""
"33","57","4","active","""2026-05-24T21:17:47.384Z"""
"34","55","5","active","""2026-05-24T21:17:47.384Z"""
"35","58","6","active","""2026-05-24T21:17:47.384Z"""
"36","56","7","active","""2026-05-24T21:17:47.384Z"""
"37","61","1","active","""2026-05-24T21:17:47.384Z"""
"38","60","2","active","""2026-05-24T21:17:47.384Z"""
"39","59","3","active","""2026-05-24T21:17:47.384Z"""
"40","59","4","active","""2026-05-24T21:17:47.384Z"""
"41","57","7","active","""2026-05-24T21:17:47.384Z"""
"42","58","3","active","""2026-05-24T21:17:47.384Z"""
"43","58","4","active","""2026-05-24T21:17:47.384Z"""
"44","56","5","active","""2026-05-24T21:17:47.384Z"""
"45","56","6","active","""2026-05-24T21:17:47.384Z"""
"46","55","2","active","""2026-05-24T21:17:47.384Z"""
"47","56","3","active","""2026-05-24T21:17:47.384Z"""
"48","60","6","active","""2026-05-24T21:17:47.384Z"""
"49","55","1","active","""2026-05-24T21:17:47.384Z"""
"50","60","3","active","""2026-05-24T21:17:47.384Z"""
"51","60","4","active","""2026-05-24T21:17:47.384Z"""
"52","61","3","active","""2026-05-24T21:17:47.384Z"""
"53","59","6","active","""2026-05-24T21:17:47.384Z"""
"54","59","1","active","""2026-05-24T21:17:47.384Z"""
"55","57","2","active","""2026-05-24T21:17:47.384Z"""
"56","59","5","active","""2026-05-24T21:17:47.384Z"""
"57","60","1","active","""2026-05-24T21:17:47.384Z"""
"58","56","2","active","""2026-05-24T21:17:47.384Z"""
"59","56","1","active","""2026-05-24T21:17:47.384Z"""
"60","58","7","active","""2026-05-24T21:17:47.384Z"""
"61","57","5","active","""2026-05-24T21:17:47.384Z"""
"62","55","6","active","""2026-05-24T21:17:47.384Z"""
