id,user_id,course_id,topic_id,subtopic_id,session_type,status,total_questions,answered_count,correct_count,earned_score,total_max_score,started_at,completed_at,created_at,updated_at
1,1,15,175,,weak_area,completed,7,7,2,3,15,"""2026-06-11T18:50:46.000Z""","""2026-06-11T19:03:46.000Z""","""2026-06-11T18:50:46.000Z""","""2026-06-11T19:03:46.000Z"""
2,1,206,3041,,mixed,completed,7,7,4,7,13,"""2026-05-22T11:43:34.000Z""","""2026-05-22T12:02:34.000Z""","""2026-05-22T11:43:34.000Z""","""2026-05-22T12:02:34.000Z"""
3,1,99,1341,,weak_area,completed,7,7,2,3,15,"""2026-06-02T08:21:56.000Z""","""2026-06-02T08:39:56.000Z""","""2026-06-02T08:21:56.000Z""","""2026-06-02T08:39:56.000Z"""
4,1,84,1093,,mixed,completed,7,7,1,2,15,"""2026-05-19T19:02:16.000Z""","""2026-05-19T19:11:16.000Z""","""2026-05-19T19:02:16.000Z""","""2026-05-19T19:11:16.000Z"""
5,1,15,169,,weak_area,completed,6,6,4,9,14,"""2026-05-06T19:21:21.000Z""","""2026-05-06T19:32:21.000Z""","""2026-05-06T19:21:21.000Z""","""2026-05-06T19:32:21.000Z"""
6,4,177,2581,,mistakes,completed,8,8,6,8,14,"""2026-05-29T11:46:34.000Z""","""2026-05-29T12:02:34.000Z""","""2026-05-29T11:46:34.000Z""","""2026-05-29T12:02:34.000Z"""
7,4,80,1033,,topic,completed,6,6,4,8,13,"""2026-05-30T20:33:01.000Z""","""2026-05-30T20:55:01.000Z""","""2026-05-30T20:33:01.000Z""","""2026-05-30T20:55:01.000Z"""
8,4,35,412,,topic,completed,8,8,5,11,19,"""2026-05-31T14:27:17.000Z""","""2026-05-31T14:43:17.000Z""","""2026-05-31T14:27:17.000Z""","""2026-05-31T14:43:17.000Z"""
9,4,177,2577,,mistakes,completed,10,10,8,15,20,"""2026-05-25T09:04:19.000Z""","""2026-05-25T09:29:19.000Z""","""2026-05-25T09:04:19.000Z""","""2026-05-25T09:29:19.000Z"""
10,4,131,1841,,mistakes,completed,10,10,6,11,21,"""2026-05-11T20:38:50.000Z""","""2026-05-11T21:01:50.000Z""","""2026-05-11T20:38:50.000Z""","""2026-05-11T21:01:50.000Z"""
