id,user_id,course_id,topic_id,subtopic_id,recommendation_type,recommendation_text,priority,status,source,created_at,updated_at
1,1,15,169,171,retry_mistakes,Retry previous mistakes in Shear Stress to reduce repeated errors.,medium,active,performance_summary,"""2026-06-11T19:03:46.000Z""","""2026-06-11T19:03:46.000Z"""
2,1,15,175,177,review_subtopic,Review Shear Force Diagrams because this topic needs more practice (accuracy 42%).,medium,active,performance_summary,"""2026-06-11T19:03:46.000Z""","""2026-06-11T19:03:46.000Z"""
3,1,15,175,177,retry_mistakes,Retry previous mistakes in Shear Force Diagrams to reduce repeated errors.,medium,active,performance_summary,"""2026-06-11T19:03:46.000Z""","""2026-06-11T19:03:46.000Z"""
4,1,15,172,174,retry_mistakes,Retry previous mistakes in Torsion Formula to reduce repeated errors.,medium,active,performance_summary,"""2026-05-23T15:02:29.000Z""","""2026-05-23T15:02:29.000Z"""
5,1,15,178,180,retry_mistakes,Retry previous mistakes in Beam Deflection to reduce repeated errors.,medium,active,performance_summary,"""2026-06-11T19:03:46.000Z""","""2026-06-11T19:03:46.000Z"""
6,1,15,172,173,review_subtopic,Review Axial Deformation because this topic needs more practice (accuracy 29%).,medium,active,performance_summary,"""2026-06-11T19:03:46.000Z""","""2026-06-11T19:03:46.000Z"""
7,1,15,172,173,retry_mistakes,Retry previous mistakes in Axial Deformation to reduce repeated errors.,medium,active,performance_summary,"""2026-06-11T19:03:46.000Z""","""2026-06-11T19:03:46.000Z"""
8,1,15,178,179,retry_mistakes,Retry previous mistakes in Combined Stress to reduce repeated errors.,medium,active,performance_summary,"""2026-05-24T10:14:45.000Z""","""2026-05-24T10:14:45.000Z"""
9,1,15,175,176,retry_mistakes,Retry previous mistakes in Bending Stress to reduce repeated errors.,medium,active,performance_summary,"""2026-06-11T19:03:46.000Z""","""2026-06-11T19:03:46.000Z"""
10,4,177,2581,2582,retry_mistakes,Retry previous mistakes in SELECT-FROM-WHERE to reduce repeated errors.,medium,active,performance_summary,"""2026-05-29T12:02:34.000Z""","""2026-05-29T12:02:34.000Z"""
11,4,177,2589,2592,retry_mistakes,Retry previous mistakes in Locking and Isolation Levels to reduce repeated errors.,medium,active,performance_summary,"""2026-05-26T10:40:24.000Z""","""2026-05-26T10:40:24.000Z"""
12,5,235,3509,3512,retry_mistakes,Retry previous mistakes in Efficiency to reduce repeated errors.,medium,active,performance_summary,"""2026-06-18T19:43:20.000Z""","""2026-06-18T19:43:20.000Z"""
13,5,235,3505,3506,retry_mistakes,Retry previous mistakes in Flux to reduce repeated errors.,medium,active,performance_summary,"""2026-06-20T20:33:10.000Z""","""2026-06-20T20:33:10.000Z"""
14,5,235,3513,3515,retry_mistakes,Retry previous mistakes in Synchronous Machines to reduce repeated errors.,medium,active,performance_summary,"""2026-06-14T20:44:32.000Z""","""2026-06-14T20:44:32.000Z"""
15,5,235,3509,3510,retry_mistakes,Retry previous mistakes in Equivalent Circuit to reduce repeated errors.,medium,active,performance_summary,"""2026-06-20T20:33:10.000Z""","""2026-06-20T20:33:10.000Z"""
16,5,235,3505,3508,retry_mistakes,Retry previous mistakes in Core Losses to reduce repeated errors.,medium,active,performance_summary,"""2026-06-20T20:33:10.000Z""","""2026-06-20T20:33:10.000Z"""
17,5,235,3513,3514,retry_mistakes,Retry previous mistakes in DC Machines to reduce repeated errors.,medium,active,performance_summary,"""2026-06-20T20:33:10.000Z""","""2026-06-20T20:33:10.000Z"""
